"GenoName","Sucrose"
"IL395a",3.6696815
"IL395a",10.7567368
"IL395a",9.4952087
"IL395a",10.8387222
"IL395a",4.5344658
"IL395a",7.4196777
"IL430a",7.9252129
"IL430a",8.6485291
"IL430a",9.6292
"IL430a",11.8619804
"IL430a",13.4840393
"IL430a",8.4834137
"IL430a",7.826889
"IL437a",5.4805031
"IL437a",6.4800453
"IL437a",3.2110786
"IL437a",5.37817
"IL437a",7.6047516
"IL437a",7.8373871
"IL437a",8.75726063333333
"IL437a",5.0632782
"IL437a",10.0939178
"IL442a",8.4564476
"IL442a",8.3092232
"IL442a",12.8567772
"IL442a",11.9884605
"IL442a",11.2505722
"IL44b",20.8277779
"IL44b",20.1806984
"IL44b",17.7750435
"IL44b",23.5707397
"IL44b",12.4277382
"IL44b",19.4331589
"IL44b",19.249691
"IL44b",21.3325844
"IL451b",4.4930077
"IL451b",10.1237488
"IL451b",5.2963104
"IL451b",5.9825668
"IL451b",9.794548
"IL451b",9.9660912
"IL451b",6.9764214
"IL451b",9.8188171
"IL451b",8.4650497
"IL453b",11.5990944
"IL453b",11.795578
"IL453b",11.2927132
"IL453b",10.8079605
"IL453b",9.0151482
"IL453b",10.8456535
"IL453b",7.4600449
"IL453b",9.9781265
"IL453b",10.3309288
"IL454a",10.4015579
"IL454a",3.8859062
"IL454a",11.0900192
"IL454a",6.651268
"IL454a",9.6025734
"IL454a",7.9930038
"IL454a",4.1187973
"IL465a",3.7654839
"IL465a",9.8510208
"IL465a",12.1096535
"IL465a",10.6976662
"IL465a",8.4798775
"IL465a",12.7936096
"IL465a",20.3883095
"IL47A",15.4160461
"IL47A",5.7357445
"IL47A",16.4762955
"IL47A",15.8334045
"IL47A",9.2036972
"IL47A",15.78582
"IL47A",12.7461357
"IL47A",11.592617
"IL515a",11.5865517
"IL515a",8.7072411
"IL515a",5.4992371
"IL515a",5.8883209
"IL515a",9.9943314
"IL515a",9.0824318
"IL515a",5.5394325
"IL543c",8.4630127
"IL543c",6.9646416
"IL543c",9.8272781
"IL543c",12.5882874
"IL543c",12.1788483
"IL543c",7.8892555
"IL543c",8.8977127
"IL545",7.0605316
"IL545",12.4474068
"IL545",10.8235321
"IL545",7.0315819
"IL545",11.4537086
"IL545",8.1441422
"IL545",11.479599
"IL557a",7.2432747
"IL557a",11.500946
"IL557a",10.3782082
"IL557a",9.2624931
"IL557a",9.953743
