SampleLabel,Inbred,superblock,block,rep,Row,Col,Check,IsFill,IsExperimental,Year,Location,NIRBase,FileSource,,,,,,
617,Wh00051,2,29,2,61,3,99,1,1,2015,Wisconsin,15W617,Wi_plot_line_2015_rep2,,,,,,
618,FILL,2,29,2,61,2,99,1,1,2015,Wisconsin,15W618,Wi_plot_line_2015_rep2,,,,,,
619,IL200e,2,29,2,61,1,99,1,1,2015,Wisconsin,15W619,Wi_plot_line_2015_rep2,,,,,,
620,2,2,29,2,62,1,99,1,1,2015,Wisconsin,15W620,Wi_plot_line_2015_rep2,,,,,,
621,Check3,2,29,2,62,2,3,1,0,2015,Wisconsin,15W621,Wi_plot_line_2015_rep2,,,,,,
622,IL607a,2,29,2,62,3,99,1,1,2015,Wisconsin,15W622,Wi_plot_line_2015_rep2,,,,,,
623,Wh09068,2,29,2,62,4,99,1,1,2015,Wisconsin,15W623,Wi_plot_line_2015_rep2,,,,,,
624,Me121-wb,2,29,2,62,5,99,1,1,2015,Wisconsin,15W624,Wi_plot_line_2015_rep2,,,,,,
625,Wh05051,2,29,2,62,6,99,1,1,2015,Wisconsin,15W625,Wi_plot_line_2015_rep2,,,,,,
626,P39LE-261,2,29,2,62,7,99,1,1,2015,Wisconsin,15W626,Wi_plot_line_2015_rep2,,,,,,
627,Wuh09188i,2,29,2,62,8,99,1,1,2015,Wisconsin,15W627,Wi_plot_line_2015_rep2,,,,,,
628,S43,2,29,2,62,9,99,1,1,2015,Wisconsin,15W628,Wi_plot_line_2015_rep2,,,,,,
629,IL661a,2,29,2,62,10,99,1,1,2015,Wisconsin,15W629,Wi_plot_line_2015_rep2,,,,,,
630,A15,2,29,2,63,10,99,1,1,2015,Wisconsin,15W630,Wi_plot_line_2015_rep2,,,,,,
631,IL801a,2,29,2,63,9,99,1,1,2015,Wisconsin,15W631,Wi_plot_line_2015_rep2,,,,,,
632,C7e,2,29,2,63,8,99,1,1,2015,Wisconsin,15W632,Wi_plot_line_2015_rep2,,,,,,
633,IL803a,2,29,2,63,7,99,1,1,2015,Wisconsin,15W633,Wi_plot_line_2015_rep2,,,,,,
634,FILL,2,29,2,63,6,99,1,1,2015,Wisconsin,15W634,Wi_plot_line_2015_rep2,,,,,,
635,Ma32,2,29,2,63,5,99,1,1,2015,Wisconsin,15W635,Wi_plot_line_2015_rep2,,,,,,
636,IL318a,2,29,2,63,4,99,1,1,2015,Wisconsin,15W636,Wi_plot_line_2015_rep2,,,,,,
637,Check2,2,29,2,63,3,2,1,0,2015,Wisconsin,15W637,Wi_plot_line_2015_rep2,,,,,,
638,83610b,2,29,2,63,2,99,1,1,2015,Wisconsin,15W638,Wi_plot_line_2015_rep2,,,,,,
639,MDM-18,2,30,2,63,1,99,1,1,2015,Wisconsin,15W639,Wi_plot_line_2015_rep2,,,,,,
640,Wuh07469i,2,30,2,64,1,99,1,1,2015,Wisconsin,15W640,Wi_plot_line_2015_rep2,,,,,,
641,Ia453,2,30,2,64,2,99,1,1,2015,Wisconsin,15W641,Wi_plot_line_2015_rep2,,,,,,
642,Wh92054,2,30,2,64,3,99,1,1,2015,Wisconsin,15W642,Wi_plot_line_2015_rep2,,,,,,
643,Wh10216V,2,30,2,64,4,99,1,1,2015,Wisconsin,15W643,Wi_plot_line_2015_rep2,,,,,,
644,Wuh07469i,2,30,2,64,5,99,1,1,2015,Wisconsin,15W644,Wi_plot_line_2015_rep2,,,,,,
645,NJ112,2,30,2,64,6,99,1,1,2015,Wisconsin,15W645,Wi_plot_line_2015_rep2,,,,,,
646,IL21f,2,30,2,64,7,99,1,1,2015,Wisconsin,15W646,Wi_plot_line_2015_rep2,,,,,,
647,EP83,2,30,2,64,8,99,1,1,2015,Wisconsin,15W647,Wi_plot_line_2015_rep2,,,,,,
648,IL303b,2,30,2,64,9,99,1,1,2015,Wisconsin,15W648,Wi_plot_line_2015_rep2,,,,,,
649,SC1441,2,30,2,64,10,99,1,1,2015,Wisconsin,15W649,Wi_plot_line_2015_rep2,,,,,,
650,Check3,2,30,2,65,10,3,1,0,2015,Wisconsin,15W650,Wi_plot_line_2015_rep2,,,,,,
651,W5552,2,30,2,65,9,99,1,1,2015,Wisconsin,15W651,Wi_plot_line_2015_rep2,,,,,,
652,P39,2,30,2,65,8,99,1,1,2015,Wisconsin,15W652,Wi_plot_line_2015_rep2,,,,,,
653,Wh05066a,2,30,2,65,7,99,1,1,2015,Wisconsin,15W653,Wi_plot_line_2015_rep2,,,,,,
654,IL779a,2,30,2,65,6,99,1,1,2015,Wisconsin,15W654,Wi_plot_line_2015_rep2,,,,,,
655,SD176,2,30,2,65,5,99,1,1,2015,Wisconsin,15W655,Wi_plot_line_2015_rep2,,,,,,
656,IL393a,2,30,2,65,4,99,1,1,2015,Wisconsin,15W656,Wi_plot_line_2015_rep2,,,,,,
657,IL804a,2,30,2,65,3,99,1,1,2015,Wisconsin,15W657,Wi_plot_line_2015_rep2,,,,,,
658,Wh00050,2,30,2,65,2,99,1,1,2015,Wisconsin,15W658,Wi_plot_line_2015_rep2,,,,,,
659,Check2,2,30,2,65,1,2,1,0,2015,Wisconsin,15W659,Wi_plot_line_2015_rep2,,,,,,
