taxa,PC1,PC2,PC3
CML258,11.0547272217939,8.89133389262534,0.617615050787847
CML261,9.81519564317876,8.44677015003208,-0.629245748205667
CML264,9.35614438588537,8.63836977040495,-3.3636147843115
CML277,9.65379983163096,8.78907770904827,-1.80588718946238
CML281,4.77360251309122,5.69526704333064,-2.72878531986745
CML287,6.88147871197787,8.20169248801856,-2.90521113596168
CML311,9.10788415012933,7.72347356989754,-2.08030520882787
CML314,9.8788131496408,9.37999632116717,-3.99693555862445
CML321,10.1613571923317,9.08261872060461,1.02165529496286
CML322,9.32360031394463,8.95946594279612,-3.5264491365321
CML323,5.28375766509468,3.79264719111467,1.23464061584747
CML328,8.31291200139668,3.38222158668697,-0.995687706780092
CML331,9.43859063297209,10.6997550984148,-3.81812351802453
CML332,9.74532644400317,10.0454948809647,-2.25812830647216
CML333,7.10950868506503,6.08993850051201,-1.73315049789716
CML341,10.88650207116,8.75550465375303,0.496542386675932
CML38,9.69935105676475,7.28330502719612,-3.18007014124564
CML45,10.2021223994167,7.79426761179838,-1.08300978334616
CML5,10.2719636225785,8.06669058676236,-2.83344289601365
CML52,9.51331867752959,8.4803455323705,1.05650146917476
CML61,10.1894042171392,7.55724587957851,-1.52291838988858
CML69,9.92674063567203,9.37883214340717,-0.946775957703342
CML77,5.06032708481388,6.30401614216312,-2.84388333804565
CML91,5.91873496632988,5.30754969227064,-0.827303471143402
CML92,5.13515796342688,5.59853753063076,-4.20670828180975
CMV3,-0.394959241888061,-5.19987305348964,-2.409116707366
CO106,0.48754893491524,-5.09120383447857,-0.719879218379643
CO125,0.878415648754181,-5.90249060917389,0.491210548864129
CO255,2.38190185995781,-4.91477616321396,2.87021451834736
D940Y,7.01047992279951,-2.81129964370959,1.00671901367411
DE2,-0.828692672582721,-6.24717378548391,0.284626487119218
DE3,-4.32377130225617,-3.72474733262189,0.909327058208515
DE1,-0.456888114204185,-5.79934835109372,0.581184454739268
DE811,-10.8703477929575,-1.61064086245177,-13.6462272813362
E2558W,2.81787941773366,-1.43791352764881,0.0171665797234103
EP1,5.38721699494991,-3.07623440540313,0.772821977532105
F2834T,3.577373831714,5.81635025001366,-0.270831652772215
F44,3.12853972355368,1.07564720099605,0.412154343477157
F6,0.714902558022697,-4.25995724183822,2.54980306455396
F7,4.18335631732184,-7.22618915968102,0.762118917873553
GA209,2.27623017266404,-4.21598314881196,2.31505146987989
GT112,5.30765922419392,-2.31908882062633,3.15350917116691
H105W,-14.4973075366129,-0.381499948101155,-21.2757812450367
H49,1.31834390800678,-5.05740764263031,1.52466299866294
H84,-9.88059328761996,-0.44946066401648,2.60075141509191
H91,-22.6331201120983,0.69876617465819,-27.5561868677028
H95,-0.00605239116081991,-9.88466355771321,4.90563647524398
H99,2.05923411135335,-5.72036050862198,3.05546327643817
HI27,3.42372679219996,6.32069851109041,-9.73488256291863
HP301,2.68514878948554,-7.1983555203442,7.68024307174728
HY,-7.80583840680203,-1.09507851680533,1.78625827431578
I137TN,5.86050205448941,0.941771250495521,0.642808997564412
I205,-4.12905234672681,-2.98454431592464,-0.483041331225941
I29,1.21525591754167,-2.88363758894921,1.87297938688189
IA2132,-1.22497154500446,-11.4378120932355,3.84794714720327
IA5125,0.332684670508718,-9.53670326287518,2.01275251676509
IDS28,0.958246867217477,-5.22616037706525,3.41250624647759
IDS69,1.32841434915551,-7.01213522584613,8.43952140855559
IDS91,2.58984475560591,-6.72893760804623,8.33107550792459
IL101,-1.69916954302467,-13.5258248088649,2.06127968611617
IL14H,-1.67585403868566,-14.0622309253785,3.46346990003897
IL677A,-1.63097842005874,-11.9905151736334,3.13581463737648
K148,1.83840747157575,-3.68435072390261,0.627785958721898
K4,1.119286026153,-2.823712782343,1.57354150113385
K55,-1.88580366701242,-2.5110055642574,-0.43239726527126
K64,1.04510841434368,-4.5765924956211,1.42164202158076
KI11,8.16028163001159,6.92383209182585,-1.11982565983923
KI14,11.243809137052,6.91923702887532,-0.0303084508769064
KI2021,10.5882994570205,6.16237417026866,0.152136675725523
KI21,6.80245409438804,2.04134880788937,-0.453405246301792
KI3,11.2875978528553,9.50522004857851,0.316375970312438
KI43,8.9196998722572,4.83282309033611,0.381192784915163
KI44,9.46943816404375,6.54270041798932,0.644657343854954
KY21,1.17490747650311,-2.24720582035864,-1.57230400406838
KY226,2.66384435821615,-0.0222995786121581,1.73112454690935
KY228,1.29117624929968,-4.22162841962701,-1.22663725848265
L317,2.25785140166595,-5.69011861467598,-0.450609268262687
L578,4.44590426803907,0.486530371652423,1.67966276238926
M14,-4.38654159618023,-6.99163691044349,1.29409097059989
M162W,5.02157956302721,-1.92522814321016,0.738807831626718
M37W,6.46125885770164,1.11982719519278,-1.8146588809054
MEF156-55-2,-0.378024700996233,-11.0585265149022,3.51084604141721
MO17,2.22922910193271,-8.98738540298337,1.85985894828432
MO18W,7.0277429906308,3.67107266322864,-2.01295164790647
MO1W,1.79711950489041,-4.8219747585083,-0.284620947210737
MO24W,4.8929274410135,-0.621918971825418,2.81488022344818
MO44,-3.17289894227844,-5.86451342361164,-0.761258436074065
MO45,0.144916819845218,-2.66884216023105,-0.300473376839825
MO46,-1.48073726055292,-1.65193052885663,-4.22844206120647
MO47,1.01684440551104,-2.20860987921942,0.923157078054822
MOG,2.64881766405062,-2.41189299094612,-1.46496969031237
MP339,0.790443018901201,-0.294902641454908,-1.35897266398842
MS1334,2.82826872590956,-4.59753958583268,-0.467788017451409
MS153,-3.27181928878847,-8.6061347820527,0.940653335152555
MS71,-2.69230442372552,-8.22398588807548,0.0436076932777561
MT42,-0.504966882303561,-5.877090989929,-0.213776266814052
N192,-31.7646215105227,7.52736828193886,1.04156650156748
N28HT,-12.6963458728442,-0.910663017349517,-1.98401714257123
N6,-0.388628109467973,-4.34883826406809,-0.186845536535189
N7A,-8.62103051929553,-3.52609605518327,-5.57938211025293
NC222,1.70447999317621,-1.93300792327138,1.07333006569151
NC230,0.127407195529781,-2.09157228861207,-1.03190569548994
NC232,1.76777233600199,-2.82937572690599,-0.0987294825306258
NC236,0.783328668765058,-5.91938223186525,-1.89989171849773
NC238,3.05531006341225,-3.18344953682206,3.29988180989566
NC250,-9.58632469491475,1.78566348863675,6.52274871455145
NC258,4.50542472569913,-10.7066553079474,2.87985947641982
NC260,-1.70317239476343,-5.72084718223852,-0.542805200719867
NC262,5.29046779323329,-10.1457568949659,2.77419357347035
NC264,8.44629667940545,1.33552004752849,-0.277261825500612
NC290A,4.04523190560914,-10.7701390068844,3.13404708515281
NC294,-25.9313597566701,11.0194781561707,12.9220115981517
NC296,12.5102205089235,18.4076743565395,-0.709175236694527
NC296A,12.9782113094897,18.2550980143043,-0.682163164949895
NC298,13.4501048605026,17.145096049114,-1.50227239129537
NC300,11.345682557649,11.975780797745,0.58139594241525
NC302,11.1781869256485,14.7964708337778,-0.156752786189625
NC304,10.8189907273372,14.1792208871705,-0.750921368338853
NC306,-27.049422227218,12.3034100030019,13.1080724314215
NC310,-34.9043596664615,15.1907662206605,10.5187969808937
NC314,-20.0591508193669,9.48465072154355,9.95586430173832
NC318,6.54663686931755,0.558988029437941,0.287052519366178
NC320,7.79647872440713,0.960033736181933,-0.188610563073262
NC324,-20.1965222171683,9.75288851339922,10.8593840064372
NC326,-37.2050813942379,16.0816454354461,12.1210713715836
NC328,-35.3545427427204,16.4930023403198,12.7053095472948
NC33,2.09691415800809,-2.91788286035261,1.41840834100035
NC336,13.7492948212552,17.9002879169549,-1.43405646820203
NC338,12.280528244443,13.71304921744,-1.04035700505334
NC340,11.2529597300173,12.270152091063,-0.0925709184794133
NC342,-2.6579248298415,-3.76928587683831,3.40373122975695
NC344,4.83505197264209,-10.7683984756507,2.92790003771541
