"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"21","2678","15W2407-1",-0.5091324,20.4875374,20.581665,7.2880912,7.4916654,18.7857018,34.552021,"We05401","Starch Zeroed"
"22","1671","14W31845-1",-0.2543945,1.5835838,-1.2536163,10.3123455,9.1532326,15.299408,37.6907539,"Ma609","Starch Zeroed"
"23","1020","14W30301-1",-0.1824875,15.6413155,14.3584824,6.8057122,7.459949,8.1597443,25.125206,"IL747b","Starch Zeroed"
"24","1905","14W32341",-0.1477852,24.9099846,26.5711899,5.7542319,3.8084197,-2.4399567,1.3515921,"EP58","Starch Zeroed"
"25","1863","14W32264-1",-0.1099968,22.3481598,21.9632111,4.4770322,5.6019607,12.246582,23.3180656,"IL731a","Starch Nulled"
"26","375","14NY0353-1",-0.0040321,21.6043015,23.1972656,5.7096567,6.2628036,24.4551048,36.9181137,"IL766a","Starch Zeroed"
"27","547","14NY0508",23.32827,1.4946327,-22.6514587,11.0399799,7.3504086,-11.1202412,15.27458,"Check1","WSP Nulled"
"28","963","14NY0873",45.7703171,35.7124557,-14.251976,6.2315307,8.0018387,-2.9234924,11.0519543,"A7","WSP Zeroed"
"29","964","14NY0873-1",46.0988579,36.0317612,-14.2286835,6.2647729,7.947413,-3.0304413,10.8873043,"A7","WSP Zeroed"
"30","965","14NY0873-2",43.6019287,34.8346405,-12.5129089,5.6689725,7.1670918,-1.4410934,12.10952,"A7","WSP Zeroed"
"31","916","14NY0846-1",49.9397545,38.5896912,-11.6578979,0.3508595,5.3388939,18.6074371,14.4388046,"IL14b","WSP Nulled"
"32","194","14NY0163-2",18.4159241,10.2226944,-10.5550308,8.6736488,6.7864461,-5.211607,14.4651642,"S4","WSP Nulled"
"33","435","14NY0420-1",56.9475784,50.8366165,-8.9338379,1.0378677,5.0530405,3.7852287,6.0060959,"A7","WSP Nulled"
"34","1167","14W30840-2",43.270546,36.5774689,-7.6333847,3.1619601,3.5940158,3.9708519,11.5637341,"ND1","WSP Zeroed"
"35","2403","15NY0695",47.3461533,40.4933701,-7.3645859,5.2237048,7.2925138,7.9496155,9.1795006,"MDM-20","WSP Zeroed"
"36","663","14NY0607-2",19.8715782,14.4807434,-5.6918411,9.8884459,8.9489012,8.8544617,30.6188774,"I817","WSP Zeroed"
"37","364","14NY0341-2",17.9577751,12.3619232,-4.4319382,6.5928206,9.4560318,16.8323898,33.8086052,"SC1441","WSP Zeroed"
"38","662","14NY0607-1",21.4728622,19.2313232,-4.0456924,7.6208549,7.8958859,7.6257286,24.1252441,"I817","WSP Zeroed"
"39","560","14NY0520-1",44.4026909,42.378067,-3.932457,3.6809311,4.5885468,-1.0420151,7.4543858,"ND1","WSP Zeroed"
"40","1899","14W32336-1",30.2768383,27.4789658,-3.5685501,6.4114499,6.849472,2.812088,19.1153641,"A15","WSP Nulled"
"41","103","14NY0067-1",25.3532047,23.3339882,-3.5078888,6.8193307,5.5217481,-4.9929733,7.5383472,"Check2","WSP Zeroed"
"42","601","14NY0556-1",36.1517715,34.9648514,-3.4738312,5.4314671,6.3982272,4.2109261,15.8219929,"A15","WSP Nulled"
"43","1169","14W30841-2",20.7249413,20.44244,-2.7130127,6.2475448,6.2431154,2.6045609,18.7796021,"C4","WSP Zeroed"
"44","2084","15NY0182",31.8691425,29.4371033,-2.6716003,3.3296781,5.6581149,6.7247887,12.3405724,"MDM-20","WSP Nulled"
"45","78","14NY0053-2",25.4063721,24.103714,-2.66185,5.2691078,6.4234371,4.9751816,15.9907131,"Check2","WSP Zeroed"
"46","1056","14W30468-1",35.6438141,36.932518,-2.5044174,5.2871966,5.667016,-2.416893,10.78619,"A7","WSP Zeroed"
