"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"438","619","15NY0404",35.4671173,32.9002686,-0.0407126,3.3188,4.2023187,11.255703,18.6918983,"B73","WSP Zeroed"
"439","382","14W31542",35.751049,41.3561668,-0.0385447,3.6832285,3.367866,6.1953869,12.568676,"Wuh08127i","WSP Zeroed"
"440","64","14NY0239-2",13.5992899,23.4172459,-0.0349498,6.9789696,6.5541835,18.3114758,31.6752014,"Wh00033","WSP Nulled"
"441","743","15W2617-1",11.3272943,21.0965214,-0.0323529,6.9367952,6.6042957,19.0532455,32.5515747,"Wh09087","WSP Nulled"
"442","297","14W30921",30.211132,31.5913067,-0.0252538,3.7900529,3.9225092,10.3674889,17.8482418,"Wuh09153i","WSP Zeroed"
"443","124","14NY0405-1",24.7004547,25.9610825,-0.0217254,4.9644756,5.4873362,15.3886185,25.8479538,"Mo17","WSP Zeroed"
"444","572","15NY0189",18.2710075,15.0474844,-0.0174503,5.6220822,6.1734147,20.382618,32.6124039,"Wuh07481i","WSP Zeroed"
"445","475","14W32121",31.0648155,29.9910889,-0.0109968,3.4798717,3.8334394,10.8200607,17.9950294,"Wuh07422i","WSP Zeroed"
"446","258","14NY0789-1",13.3006887,17.5629349,-0.0075326,6.3542471,6.7024155,20.336731,33.6391258,"If825","WSP Zeroed"
"447","127","14NY0407-2",31.7994715333333,30.4472891333333,-0.0013818,4.02149786666667,4.7744551,13.1261542666667,21.8621565333333,"OH43","WSP Zeroed"
"448","202","14NY0666-2",2.7438574,NA,0,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","Sucrose Nulled"
"449","193","14NY0643-2",8.2037029,0.843261,0,6.6986403,8.1426506,33.5793381,48.3713684,"Wh07061a","Sucrose Nulled"
