"Inbred","Starch.BLUP","Total.Polysaccharides.BLUP","WSP.BLUP","Glucose.BLUP","Fructose.BLUP","Sucrose.BLUP","Total.Sugar.BLUP"
"Check1",-6.05153034918213e-11,-8.88232035409757e-11,6.3617350321294e-11,-2.01852617407603e-11,-2.04871876507511e-11,-1.03515355845713e-10,-1.25093402047047e-10
"Check2",1.21134872860534e-11,1.45175694138611e-11,3.05272393684914e-12,-2.32202768650658e-13,-1.29050614873079e-12,5.4978319825811e-13,-3.75250498531533e-12
"Check3",1.26533508847975e-11,1.17218107447573e-11,1.84785139726421e-12,-1.75347842327539e-13,-1.17850838969277e-12,-9.48842947879115e-14,-5.86919642714804e-12
"Check4",1.12092728747927e-12,-2.08892385601797e-12,7.36573807053587e-14,-9.93718330609781e-14,-1.13983356318537e-14,2.42276315988702e-13,4.92631488176777e-13
"EP58",-0.11324900409428,1.57761067546416,2.12920083318292,0.302949698344598,-0.478310060945166,-2.78437342763134,-3.53778898056089
"EP60",3.25299946717706,3.37769791104446,1.04111032734922,0.114461268782671,0.296968548464481,1.13799043906142,0.173347221612758
"EP61",0.486978207180498,-1.13804004596955,-1.6883455607494,0.213520732945422,0.462312447808035,-1.17591436159604,1.0497589034636
"EP62",-1.6820927871716,-0.497582929607652,0.634202651690169,-0.617011902394058,-0.425815866026689,-0.201317500003722,-0.587519076954959
"EP82",-0.337443574962779,-0.12318418367802,-0.130442676321621,-0.595598289967637,-0.877416361760701,-1.00879609259597,-1.82998895997183
"EP83",2.452111393997,3.30260802031365,0.736602191234107,-0.957068541194972,-0.816301481265885,-0.459207809787665,-2.25955628829416
"G8",1.34943817280882,-1.98219122774716,-3.42436987870038,0.105232571883533,0.45097442459409,-2.34325168149672,0.0431041619897883
"GMBAB",5.62368007325738,4.95818751762868,0.00389600744580213,-0.906928656135395,-0.615521946801809,-0.32631991907198,-1.98824117683185
"GTS1",0.354810132163426,2.97397376918971,2.3067684295423,-0.38510346875844,-0.398726103079153,0.143579998848345,-0.787481657754113
"I45",-3.92528138824201,-1.36722444916358,1.66288817737705,-0.0563450770526642,0.0241913985779204,1.95411921811107,0.792571702970395
"I817",1.81388881981893,-4.38760682546709,-4.73307569361757,1.40086286562017,0.969417161545747,-1.02373484210772,3.04052321858033
"Ia2003",0.366114900131855,1.58206901074751,0.971570395276189,0.0149731024918732,-0.186796190945125,-2.78636340770956,-3.26682505901076
"Ia2076",-0.919652075452854,0.0984585594511032,0.582871494756943,0.0154995049733354,-0.32813081763591,-1.45658297724473,-1.15625123280133
"Ia2132",0.347617173919213,-0.459807890914472,-0.308576190626842,-0.348473157140929,-0.354043317706261,-2.39639028218543,-3.03866480139285
"Ia2256",0.44328855166658,1.29818555906028,0.773956890496154,-0.956659809865142,-0.724200156312045,-2.88936713228565,-5.59005138478074
"Ia2256B",1.24917152710464,2.31024323060844,0.843346738914751,-1.13387819543345,-0.506907096455901,-1.60911692031598,-3.2962612498309
"Ia2730",5.29272748752098,-4.24516695544036,-7.80341476296941,1.00636864279133,0.968996609470655,-5.45548110596903,-1.21570628846774
"Ia4189",3.97629818285377,5.36007666306422,1.78094214060335,-0.33588588167122,-0.979824882773648,-0.336388589803993,-2.97115035949926
"Ia45-1",-1.24711714730663,-4.20024481085077,-3.10978395746567,0.674959399842787,1.0218726163218,1.98115095364306,3.54085614324834
"Ia45-2",-2.28580752551492,-0.685806650767078,0.54373802839936,-0.274763978865225,-0.0271237064894361,-0.587882263315265,-0.0250836729001304
"Ia45-3",-1.89986527543702,-0.463594901934846,0.578696643194196,0.0381060539957602,0.248783054456502,-0.698303169232934,-0.699567030815252
"Ia453",-2.31329298959303,2.27137010922645,4.01800864081702,-1.14140623332718,-1.08188939217681,0.29614044842097,-2.21704858502845
"Ia5125",3.71293133670539,0.104518013295438,-4.06598406498081,0.0800520614783529,0.227227573698419,-3.0412459353129,-2.38485362531059
"Ia5220",-3.26734097526814,1.28742868290791,3.75975406892789,-0.460317657319681,-0.177099749303759,1.87571618904957,0.417314664178649
"Ia5261",0.513060540094642,4.84656304790587,4.02924636646428,-0.918804791810752,-1.15882734555126,0.0365136994955333,-2.65384075423512
"Ia59",0.693659087192897,-0.222156415734081,-0.936176183374685,0.0435710112429776,0.335734871561433,1.54747437061526,2.17018833373263
"IaCG4189",3.77753538332647,4.80747682758349,1.85194734441611,-0.355542742846125,-0.961609959829878,-0.108351100930593,-2.27745107157141
"IaEV191",-5.97861324830768,-4.15932881780449,1.16275202877525,0.806677018952607,0.216867559816638,-0.810015385039486,1.7367816002586
