"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"322","500","15NY0287",27.1161346,18.8995323,-0.967639,4.2650671,5.178709,18.2156334,27.8470268,"EP84","WSP Zeroed"
"323","573","15NY0693",29.3645287,21.5725613,-0.9649353,4.0233126,4.9923902,17.1887131,26.3253651,"Wh98063","WSP Zeroed"
"324","106","14NY0329-2",16.4942703,12.7079697,-0.9580172,5.8892345,6.4464417,22.4252167,35.0171547,"Wh9261","WSP Zeroed"
"325","587","15NY0803",23.8698845,16.2867222,-0.9579722,4.7220755,5.6859245,20.2513199,30.951273,"Wuh09174i","WSP Zeroed"
"326","625","15W2362-2",18.2571373,19.955822,-0.9187756,5.5425253,6.005024,19.289917,30.8673973,"Wh07013","WSP Nulled"
"327","602","15NY0879",28.303978,19.9667778,-0.9123716,3.9203072,5.0396385,17.6624832,26.8453579,"Wh95016a","WSP Zeroed"
"328","621","15W2337-2",19.8017235,21.6443119,-0.8356215,5.3781676,5.819746,18.3773174,29.5557861,"Wh93017","WSP Nulled"
"329","245","14NY0784-1",25.1898232,26.2095642,-0.8353062,4.7902365,5.4717426,16.4115124,26.5295029,"Wh10804R","WSP Zeroed"
"330","556","15NY0621",23.4437981,13.1896257,-0.8277715,4.8132358,5.7077217,20.776228,31.7177925,"Wh10049R","WSP Zeroed"
"331","241","14NY0767-2",12.5660563,14.9155579,-0.7851146,6.3854132,6.9481339,22.7012348,36.2240143,"Wh96015","WSP Nulled"
"332","655","15W2819-2",20.2495232,21.8721542,-0.7680265,5.1801386,5.7149887,18.0473003,28.9342327,"Wh96034","WSP Zeroed"
"333","306","14W31349",32.8420639,37.6580353,-0.7595853,3.6144629,3.451088,8.4526863,14.8408813,"Wuh09093i","WSP Zeroed"
"334","570","15NY0686",22.6148148,15.1272383,-0.7570708,4.9980841,5.8201237,20.399559,31.5517921,"Wh10034R","WSP Zeroed"
"335","471","15NY0118",28.6722336,21.0685501,-0.7498327,4.0159192,4.9734192,17.0495186,26.224596,"Wh98063","WSP Zeroed"
"336","318","14W31444",26.0658646,25.330471,-0.7454617,3.8533692,4.2537813,13.8200674,21.7415543,"Wuh09097i","WSP Nulled"
"337","193","14NY0668-1",14.9372149,21.1987896,-0.7438871,6.4873128,6.5291395,19.606678,32.5065765,"Wh04036V","WSP Nulled"
